timestamp,test_id,source,source_ip,destination,destination_ip,expected,actual,status,severity
2026-08-28T00:59:44,1,APP-A,10.10.30.10,DB-A,10.10.50.10,ALLOW,Reachable,PASS,INFO
2026-08-28T00:59:44,2,APP-A,10.10.30.10,DB-B,10.10.60.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,3,APP-A,10.10.30.10,APP-B,10.10.31.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,4,APP-A,10.10.30.10,DB-C,10.10.70.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,5,APP-A,10.10.30.10,Cloud App,10.20.10.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,6,APP-A,10.10.30.10,Cloud DB,10.20.20.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,7,APP-A,10.10.30.10,APP-C,10.10.32.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,8,APP-A,10.10.30.10,VLAN 30 Gateway,10.10.30.1,ALLOW,Reachable,PASS,INFO
2026-08-28T00:59:44,9,APP-B,10.10.31.10,DB-A,10.10.50.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,10,APP-B,10.10.31.10,DB-B,10.10.60.10,ALLOW,Reachable,PASS,INFO
2026-08-28T00:59:44,11,APP-B,10.10.31.10,DB-C,10.10.70.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,12,APP-B,10.10.31.10,APP-C,10.10.32.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,13,APP-C,10.10.32.10,DB-A,10.10.50.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,14,APP-C,10.10.32.10,DB-C,10.10.70.10,NOT ESTABLISHED,Reachable,REVIEW,WARNING
2026-08-28T00:59:44,15,APP-C,10.10.32.10,DB-B,10.10.60.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,16,APP-C,10.10.32.10,APP-B,10.10.31.10,DENY,Blocked,PASS,INFO
2026-08-28T00:59:44,17,APP-C,10.10.32.10,Cloud App,10.20.10.10,DENY,Timeout,PASS,INFO
2026-08-28T00:59:44,18,APP-C,10.10.32.10,Cloud DB,10.20.20.10,DENY,Timeout,PASS,INFO
2026-08-28T00:59:44,19,APP-C,10.10.32.10,APP-A,10.10.30.10,DENY,Blocked,PASS,INFO
